id,name,category,stock_quantity,purchase_price,selling_price,min_stock
565,LACOSTE 4 GM 3 PM,,983,300.0,300.0,0
965,LACOSTE 42,,202,0.0,0.0,0
1131,LACOSTE 55,,402,240.0,240.0,0
1079,LACOSTE 6,,2029,0.0,0.0,0
1194,LACOSTE 68,,203,0.0,0.0,0
1383,LACOSTE 6G 6P,,204,240.0,240.0,0
1284,LACOSTE 6G 7P,,3494,0.0,0.0,0
939,LACOSTE 7 4G 3 P,,302,0.0,0.0,0
1308,LACOSTE 8,,247,125.0,125.0,0
1157,LACOSTE 9,,100,0.0,0.0,0
978,LACOSTE EC 88,,253,0.0,0.0,0
1056,LACOSTE L,,200,0.0,0.0,0
1057,LACOSTE LA MAIN,,100,0.0,0.0,0
1234,LACOSTE NIKE,,150,240.0,240.0,0
1034,LACOSTE PLY 3CM,,30,0.0,0.0,0
564,LACOSTE PM (12),,228,250.0,250.0,0
1286,LACOSTE TAILLE,,30000,0.85,0.85,0
1377,LACOSTE TENIS,,122,240.0,240.0,0
1296,LACOSTE_84,,100,125.0,125.0,0
1205,LAKERS,,100,0.0,0.0,0
1214,LAPIN 4,,100,0.0,0.0,0
882,LE PRINTEMPS,,77600,0.9,0.9,0
878,LIVARPOOL,,506,200.0,200.0,0
1107,LIVARPOOL(4),,504,0.0,0.0,0
1378,LOGO ENFFANT,,542,240.0,240.0,0
868,M 2.5,,360,0.0,0.0,0
1311,M C A,,285,0.0,0.0,0
642,M NOIR,,206,500.0,500.0,0
570,M32#,,20,1000.0,1000.0,0
571,M36#,,30,1000.0,1000.0,0
572,M40#,,30,1000.0,1000.0,0
579,M44#,,18,1300.0,1300.0,0
578,M70#,,16,4000.0,4000.0,0
1227,MACRAN 104,,35,230.0,230.0,0
1020,MAD MAX,,152,0.0,0.0,0
864,MADA IN CHINA,,12000,0.6,0.6,0
913,MADE IN CHINA,,6000,0.6,0.6,0
873,MADE IN TURKY,,6000,0.0,0.0,0
1248,MADE MODE,,34800,0.85,0.85,0
1129,MARCK 4,,1520,0.0,0.0,0
1125,MARCK 6,,1220,0.0,0.0,0
1161,MARINE BLEU,,10,1500.0,1500.0,0
1138,MARINE WEAR,,251,250.0,250.0,0
1189,MASHA,,776,0.0,0.0,0
991,MAX MOD,,20,0.0,0.0,0
995,MAX MOD 207,,100,0.0,0.0,0
843,MCA,,909,190.0,190.0,0
1169,MCA 2,,636,0.0,0.0,0
1251,MG,,6,0.0,0.0,0
929,MIDA,,196400,0.9,0.9,0
1375,MIDA INJAZE,,34800,0.95,0.95,0
588,MIKEY 4,,102,185.0,185.0,0
695,MIKY MOUSSE 4,,201,0.0,0.0,0
1109,MILAN(4),,504,0.0,0.0,0
1228,MINIE,,50,250.0,250.0,0
1280,MIRAL,,75000,1.2,1.2,0
1221,MOBILIS 11,,897,0.0,0.0,0
1035,MOBILIS 12G/12P,,107,0.0,0.0,0
1281,MOBILIS 5,,6076,240.0,240.0,0
1272,MOBILIS 6,,250,0.0,0.0,0
1059,MOBILIS JSK DRAPO,,202,0.0,0.0,0
1317,MODIFIER,,202,150.0,150.0,0
1077,MOLE,,1,6000.0,6000.0,0
1175,MOLOUDID PAL,,75,270.0,270.0,0
1002,MONO ELECTRIC,,1321,350.0,350.0,0
959,MOSHINO,,302,0.0,0.0,0
562,MOULE,,69,1500.0,1500.0,0
1349,MOULE ALO,,1,2000.0,2000.0,0
1268,MOULE APPEL,,7,2000.0,2000.0,0
1364,MOULE BMS,,3,2000.0,2000.0,0
1306,MOULE DJOUMANA,,8,1500.0,1500.0,0
1376,MOULE INJ,,8,1500.0,1500.0,0
1371,MOULE JONES,,4,1500.0,1500.0,0
1369,MOULE LACOSTE,,6,2000.0,2000.0,0
1304,MOULE LILAS,,2,1500.0,1500.0,0
1374,MOULE TA,,1,2000.0,2000.0,0
1156,MULTI MARCK 42,,2410,0.0,0.0,0
1235,MULTI MARCK 63,,815,240.0,240.0,0
1256,MULTI-MARCK 55,,1691,230.0,230.0,0
599,MULTI-MARK  01,,272,220.0,220.0,0
600,MULTI-MARK 02,,272,190.0,190.0,0
601,MULTI-MARK 03,,272,220.0,220.0,0
602,MULTI-MARK 04,,272,190.0,190.0,0
603,MULTI-MARK 05,,271,190.0,190.0,0
604,MULTI-MARK 06,,271,190.0,190.0,0
609,MULTIMark,,112,220.0,220.0,0
606,Mme hayet tizi,,254,220.0,220.0,0
1054,Mobilis 10 jsk 2,,1670,0.0,0.0,0
1274,N 10 JSK 4,,2550,0.0,0.0,0
1088,N B A,,202,230.0,230.0,0
846,NAFTAL,,304,220.0,220.0,0
1197,NAPRAN,,201,230.0,230.0,0
1159,NAVY BLEU,,10,1500.0,1500.0,0
1127,NBA,,606,240.0,240.0,0
590,NIKE (6) GM,,425,230.0,230.0,0
1097,NIKE 10,,250,230.0,230.0,0
1242,NIKE 104,,200,240.0,240.0,0
829,NIKE 12,,1257,0.0,0.0,0
686,NIKE 13/12,,509,220.0,220.0,0
1163,NIKE 140,,200,0.0,0.0,0
1276,NIKE 156,,100,240.0,240.0,0
1226,NIKE 16 TACHA 16,,205,230.0,230.0,0
1028,NIKE 224,,502,0.0,0.0,0
1258,NIKE 23 LOGO,,50,240.0,240.0,0
960,NIKE 26/20,,201,0.0,0.0,0
958,NIKE 272,,203,0.0,0.0,0
1365,NIKE 3,,30,0.0,0.0,0
757,NIKE 4 DINOTEX,,330,0.0,0.0,0
1121,NIKE 49,,51,230.0,230.0,0
941,NIKE 4P 4G,,345,0.0,0.0,0
773,NIKE 6 DINOTEX,,123,0.0,0.0,0
957,NIKE 6.5,,202,0.0,0.0,0
1042,NIKE 8,,100,230.0,230.0,0
1229,NIKE AIR 42,,354,0.0,0.0,0
976,NIKE BLOOD,,203,0.0,0.0,0
980,NIKE DJORDAN,,204,0.0,0.0,0
1116,NIKE E23 L26,,100,0.0,0.0,0
